c_sh,cutoff_id,cutoff_index,training_end_date,forecast_week,date,reference_cases,history_conditioning_enabled,history_weeks,recent_transmission_multiplier,history_conditioning_objective,history_conditioning_optimizer_success,anchor_exposed_per_case,anchor_infectious_per_case,origin_exposed_total,origin_infectious_total,origin_sick_total,observed_cases,fitted_expected_cases,p10_cases,median_cases,p90_cases,training_windows,global_fit_training_windows,global_parameters_refitted_each_cutoff,training_objective,outbreak_threshold,observed_six_week_event,predicted_six_week_event_probability,event_brier_score,persistence_event_probability,persistence_event_brier_score
0.0,4,96,2025-10-27,2,2025-11-10,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,7.0,3.6653734734628465,1.0,3.0,6.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.0,4,96,2025-10-27,3,2025-11-17,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,8.0,3.6367003005042178,1.0,4.0,6.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.0,4,96,2025-10-27,4,2025-11-24,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,12.0,3.6524934382786305,1.0,3.0,7.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.0,4,96,2025-10-27,5,2025-12-01,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,12.0,3.700383460561321,1.0,3.0,6.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.0,4,96,2025-10-27,6,2025-12-08,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,8.0,3.772494642771521,1.0,3.5,7.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.0,5,108,2026-01-19,1,2026-01-26,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,22.0,11.440492426647921,7.0,11.0,15.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.0,5,108,2026-01-19,2,2026-02-02,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,14.0,10.671851587140283,7.0,11.0,14.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.0,5,108,2026-01-19,3,2026-02-09,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,33.0,10.148407346982298,5.0,9.0,13.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.0,5,108,2026-01-19,4,2026-02-16,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,29.0,9.78880721667699,6.0,9.0,13.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.0,5,108,2026-01-19,5,2026-02-23,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,15.0,9.546883823149166,5.0,9.0,13.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.0,5,108,2026-01-19,6,2026-03-02,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,18.0,9.393529590351193,6.0,9.0,13.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.05,0,60,2025-02-17,1,2025-02-24,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,4.0,4.05637759002798,1.0,4.0,7.0,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.05,0,60,2025-02-17,2,2025-03-03,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,6.0,3.9583621703828022,1.0,3.5,7.0,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.05,0,60,2025-02-17,3,2025-03-10,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,8.0,3.9233705190621055,2.0,4.0,7.0,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.05,0,60,2025-02-17,4,2025-03-17,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,10.0,3.932683201826529,1.9000000000000004,3.0,6.0,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.05,0,60,2025-02-17,5,2025-03-24,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,6.0,3.9749080146573395,1.0,4.0,7.0,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.05,0,60,2025-02-17,6,2025-03-31,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,10.0,4.042371828835019,1.0,3.5,6.1000000000000085,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.05,1,66,2025-03-31,1,2025-04-07,10.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,12.0,8.158973417328603,5.0,8.0,12.0,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0
0.05,1,66,2025-03-31,2,2025-04-14,10.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,18.0,7.668452225590049,4.0,8.0,11.0,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0
0.05,1,66,2025-03-31,3,2025-04-21,10.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,13.0,7.323532950563638,4.9,7.0,11.0,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0
0.05,1,66,2025-03-31,4,2025-04-28,10.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,14.0,7.0819451153273025,4.0,7.0,11.0,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0
0.05,1,66,2025-03-31,5,2025-05-05,10.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,12.0,6.91702079148726,3.9000000000000004,7.0,11.0,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0
0.05,1,66,2025-03-31,6,2025-05-12,10.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,11.0,6.810545126907282,4.0,7.0,10.0,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0
0.05,2,84,2025-08-04,1,2025-08-11,14.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,8.0,12.887718647687812,8.0,14.0,18.10000000000001,78,0,False,,10.0,False,0.99,0.9801,1.0,1.0
0.05,2,84,2025-08-04,2,2025-08-18,14.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,3.0,12.025958141620027,9.0,12.0,17.0,78,0,False,,10.0,False,0.99,0.9801,1.0,1.0
0.05,2,84,2025-08-04,3,2025-08-25,14.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,5.0,11.373249602749997,7.0,11.0,15.0,78,0,False,,10.0,False,0.99,0.9801,1.0,1.0
0.05,2,84,2025-08-04,4,2025-09-01,14.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,5.0,10.879169514710206,6.0,11.0,15.0,78,0,False,,10.0,False,0.99,0.9801,1.0,1.0
0.05,2,84,2025-08-04,5,2025-09-08,14.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,4.0,10.506122930524905,6.0,11.0,16.0,78,0,False,,10.0,False,0.99,0.9801,1.0,1.0
0.05,2,84,2025-08-04,6,2025-09-15,14.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,6.0,10.226547981734344,6.0,10.0,14.0,78,0,False,,10.0,False,0.99,0.9801,1.0,1.0
0.05,3,90,2025-09-15,1,2025-09-22,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,3.0,5.099599446578295,3.0,5.0,8.0,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.05,3,90,2025-09-15,2,2025-09-29,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,4.0,4.877899256327449,2.0,5.0,8.100000000000009,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.05,3,90,2025-09-15,3,2025-10-06,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,2.0,4.743858283828161,2.0,5.0,8.0,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.05,3,90,2025-09-15,4,2025-10-13,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,1.0,4.671198533205507,2.0,5.0,8.0,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.05,3,90,2025-09-15,5,2025-10-20,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,7.0,4.643626780719251,2.0,4.5,8.0,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.05,3,90,2025-09-15,6,2025-10-27,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,5.0,4.6502318476303,2.0,5.0,8.0,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.05,4,96,2025-10-27,1,2025-11-03,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,6.0,3.759898368728976,1.0,3.0,6.1000000000000085,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.05,4,96,2025-10-27,2,2025-11-10,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,7.0,3.6653734734628465,1.0,3.0,6.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.05,4,96,2025-10-27,3,2025-11-17,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,8.0,3.6367003005042178,1.0,4.0,6.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.05,4,96,2025-10-27,4,2025-11-24,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,12.0,3.6524934382786305,1.0,3.0,7.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.05,4,96,2025-10-27,5,2025-12-01,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,12.0,3.700383460561321,1.0,3.0,6.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.05,4,96,2025-10-27,6,2025-12-08,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,8.0,3.772494642771521,1.0,3.5,7.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.05,5,108,2026-01-19,1,2026-01-26,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,22.0,11.440492426647921,7.0,11.0,15.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.05,5,108,2026-01-19,2,2026-02-02,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,14.0,10.671851587140283,7.0,11.0,14.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.05,5,108,2026-01-19,3,2026-02-09,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,33.0,10.148407346982298,5.9,9.5,13.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.05,5,108,2026-01-19,4,2026-02-16,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,29.0,9.78880721667699,6.0,10.0,13.100000000000009,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.05,5,108,2026-01-19,5,2026-02-23,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,15.0,9.546883823149166,5.0,9.0,13.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.05,5,108,2026-01-19,6,2026-03-02,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,18.0,9.393529590351193,6.0,9.0,13.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.1,0,60,2025-02-17,1,2025-02-24,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,4.0,4.05637759002798,1.0,4.0,7.0,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.1,0,60,2025-02-17,2,2025-03-03,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,6.0,3.9583621703828022,1.0,3.5,7.0,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.1,0,60,2025-02-17,3,2025-03-10,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,8.0,3.9233705190621055,2.0,4.0,7.0,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.1,0,60,2025-02-17,4,2025-03-17,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,10.0,3.932683201826529,1.9000000000000004,3.0,6.0,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.1,0,60,2025-02-17,5,2025-03-24,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,6.0,3.9749080146573395,1.0,4.0,7.0,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.1,0,60,2025-02-17,6,2025-03-31,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,10.0,4.042371828835019,1.0,4.0,6.1000000000000085,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.1,1,66,2025-03-31,1,2025-04-07,10.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,12.0,8.158973417328603,5.0,8.0,12.0,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0
0.1,1,66,2025-03-31,2,2025-04-14,10.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,18.0,7.668452225590049,4.0,8.0,11.0,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0
0.1,1,66,2025-03-31,3,2025-04-21,10.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,13.0,7.323532950563638,4.9,7.0,11.0,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0
0.1,1,66,2025-03-31,4,2025-04-28,10.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,14.0,7.0819451153273025,4.0,7.0,11.0,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0
0.1,1,66,2025-03-31,5,2025-05-05,10.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,12.0,6.91702079148726,3.9000000000000004,7.0,11.0,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0
0.1,1,66,2025-03-31,6,2025-05-12,10.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,11.0,6.810545126907282,4.0,7.0,9.100000000000009,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0
0.1,2,84,2025-08-04,1,2025-08-11,14.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,8.0,12.887718647687812,8.0,14.0,18.10000000000001,78,0,False,,10.0,False,0.99,0.9801,1.0,1.0
0.1,2,84,2025-08-04,2,2025-08-18,14.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,3.0,12.025958141620027,9.0,12.0,17.0,78,0,False,,10.0,False,0.99,0.9801,1.0,1.0
0.1,2,84,2025-08-04,3,2025-08-25,14.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,5.0,11.373249602749997,7.0,11.0,15.0,78,0,False,,10.0,False,0.99,0.9801,1.0,1.0
0.1,2,84,2025-08-04,4,2025-09-01,14.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,5.0,10.879169514710206,6.0,11.0,15.0,78,0,False,,10.0,False,0.99,0.9801,1.0,1.0
0.1,2,84,2025-08-04,5,2025-09-08,14.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,4.0,10.506122930524905,6.9,11.0,16.0,78,0,False,,10.0,False,0.99,0.9801,1.0,1.0
0.1,2,84,2025-08-04,6,2025-09-15,14.0,True,4,1.0344258344772597,0.016949576297435737,True,1.5581230035647715,0.018826126318031763,33.229507598323835,5.743078349016277,17.24952498112577,6.0,10.226547981734344,6.0,10.0,14.0,78,0,False,,10.0,False,0.99,0.9801,1.0,1.0
0.1,3,90,2025-09-15,1,2025-09-22,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,3.0,5.099599446578295,3.0,5.0,8.0,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.1,3,90,2025-09-15,2,2025-09-29,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,4.0,4.877899256327449,2.0,5.0,8.100000000000009,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.1,3,90,2025-09-15,3,2025-10-06,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,2.0,4.743858283828161,2.0,5.0,8.0,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.1,3,90,2025-09-15,4,2025-10-13,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,1.0,4.671198533205507,2.0,5.0,8.0,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.1,3,90,2025-09-15,5,2025-10-20,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,7.0,4.643626780719251,2.0,4.5,8.0,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.1,3,90,2025-09-15,6,2025-10-27,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,5.0,4.6502318476303,2.0,4.5,8.0,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
